bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
2,17185576.0,2024,POINT (144.264504 -36.760532),wayback,3,1,400.0,bendigo,144.264504,1,-36.760532,Apartment / Unit / Flat
2,16035777.0,2022,POINT (144.318562 -36.740236),wayback,3,1,300.0,bendigo,144.318562,1,-36.740236,Apartment / Unit / Flat
2,17465519.0,2025,POINT (145.046923 -37.91956),wayback,1,2,800.0,bentleigh,145.046923,1,-37.91956,Apartment / Unit / Flat
2,17393211.0,2025,POINT (145.036682 -37.915606),wayback,1,2,660.0,bentleigh,145.036682,1,-37.915606,Apartment / Unit / Flat
2,17401430.0,2024,POINT (145.034344 -37.918496),wayback,4,1,570.0,bentleigh,145.034344,1,-37.918496,Apartment / Unit / Flat
2,17472237.0,2025,POINT (145.035852 -37.91604),wayback,1,2,670.0,bentleigh,145.035852,1,-37.91604,Apartment / Unit / Flat
2,17453433.0,2025,POINT (145.036719 -37.923505),wayback,1,1,545.0,bentleigh,145.036719,1,-37.923505,Apartment / Unit / Flat
3,17444143.0,2025,POINT (145.035632 -37.91481),wayback,1,2,780.0,bentleigh,145.035632,1,-37.91481,Apartment / Unit / Flat
2,16890591.0,2024,POINT (145.352089 -38.031316),wayback,1,1,475.0,berwick,145.352089,1,-38.031316,Apartment / Unit / Flat
3,16898956.0,2024,POINT (145.330634 -38.057229),wayback,1,2,500.0,berwick,145.330634,2,-38.057229,Apartment / Unit / Flat
3,15896129.0,2022,POINT (145.344243 -38.036071),wayback,2,2,420.0,berwick,145.344243,1,-38.036071,Apartment / Unit / Flat
2,15859673.0,2022,POINT (145.176432 -38.33748),wayback,2,1,400.0,bittern,145.176432,1,-38.33748,Apartment / Unit / Flat
3,15887762.0,2022,POINT (145.173055 -38.339214),wayback,2,2,500.0,bittern,145.173055,1,-38.339214,Apartment / Unit / Flat
1,17430765.0,2025,POINT (145.149372 -37.843427),wayback,1,1,350.0,blackburn south,145.149372,1,-37.843427,Apartment / Unit / Flat
1,15946777.0,2022,POINT (145.151099 -37.81906),wayback,2,1,330.0,blackburn,145.151099,1,-37.81906,Apartment / Unit / Flat
1,15924578.0,2022,POINT (145.155251 -37.817697),wayback,2,1,400.0,blackburn,145.155251,1,-37.817697,Apartment / Unit / Flat
1,15937428.0,2022,POINT (145.151099 -37.81906),wayback,2,1,360.0,blackburn,145.151099,1,-37.81906,Apartment / Unit / Flat
1,17440879.0,2025,POINT (145.151056 -37.819286),wayback,1,1,485.0,blackburn,145.151056,1,-37.819286,Apartment / Unit / Flat
2,15877205.0,2022,POINT (145.15629 -37.817938),wayback,2,2,475.0,blackburn,145.15629,1,-37.817938,Apartment / Unit / Flat
2,15830703.0,2022,POINT (145.15004 -37.818066),wayback,2,1,435.0,blackburn,145.15004,1,-37.818066,Apartment / Unit / Flat
2,15941990.0,2022,POINT (145.152416 -37.822182),wayback,2,1,430.0,blackburn,145.152416,2,-37.822182,Apartment / Unit / Flat
2,15936161.0,2022,POINT (145.153462 -37.813684),wayback,2,1,420.0,blackburn,145.153462,1,-37.813684,Apartment / Unit / Flat
2,15924799.0,2022,POINT (145.158961 -37.815207),wayback,2,1,365.0,blackburn,145.158961,1,-37.815207,Apartment / Unit / Flat
2,17365628.0,2025,POINT (145.150127 -37.821674),wayback,1,1,460.0,blackburn,145.150127,1,-37.821674,Apartment / Unit / Flat
3,15940572.0,2022,POINT (145.15629 -37.817938),wayback,2,2,870.0,blackburn,145.15629,2,-37.817938,Apartment / Unit / Flat
3,17436918.0,2025,POINT (145.161183 -37.821632),wayback,1,2,630.0,blackburn,145.161183,1,-37.821632,Apartment / Unit / Flat
