Statistic,Value,Suburb
Median total household income ($/weekly),1395.0,Creightons Creek
Median mortgage repayment ($/monthly),1733.0,Creightons Creek
Median rent ($/weekly)(a),250.0,Creightons Creek
Average number of persons per bedroom,0.7,Creightons Creek
Average household size,2.3,Creightons Creek
Median age of persons,39.0,Cambrian Hill
Median total personal income ($/weekly),866.0,Cambrian Hill
Median total family income ($/weekly),2230.0,Cambrian Hill
Median total household income ($/weekly),2042.0,Cambrian Hill
Median mortgage repayment ($/monthly),1742.0,Cambrian Hill
Median rent ($/weekly)(a),260.0,Cambrian Hill
Average number of persons per bedroom,0.8,Cambrian Hill
Average household size,3.2,Cambrian Hill
Median age of persons,55.0,Cowes
Median total personal income ($/weekly),586.0,Cowes
Median total family income ($/weekly),1339.0,Cowes
Median total household income ($/weekly),1026.0,Cowes
Median mortgage repayment ($/monthly),1550.0,Cowes
Median rent ($/weekly)(a),331.0,Cowes
Average number of persons per bedroom,0.7,Cowes
Average household size,2.1,Cowes
Median age of persons,40.0,Neerim North
Median total personal income ($/weekly),624.0,Neerim North
Median total family income ($/weekly),1437.0,Neerim North
Median total household income ($/weekly),1125.0,Neerim North
Median mortgage repayment ($/monthly),329.0,Neerim North
Median rent ($/weekly)(a),200.0,Neerim North
Average number of persons per bedroom,0.9,Neerim North
Average household size,2.5,Neerim North
Median age of persons,53.0,Boolarra South
Median total personal income ($/weekly),593.0,Boolarra South
Median total family income ($/weekly),1297.0,Boolarra South
Median total household income ($/weekly),1278.0,Boolarra South
Median mortgage repayment ($/monthly),1300.0,Boolarra South
Median rent ($/weekly)(a),2077.0,Boolarra South
Average number of persons per bedroom,0.8,Boolarra South
Average household size,2.4,Boolarra South
Median age of persons,37.0,Woorinen
Median total personal income ($/weekly),837.0,Woorinen
Median total family income ($/weekly),2062.0,Woorinen
Median total household income ($/weekly),1937.0,Woorinen
Median mortgage repayment ($/monthly),953.0,Woorinen
Median rent ($/weekly)(a),300.0,Woorinen
Average number of persons per bedroom,0.9,Woorinen
Average household size,2.7,Woorinen
Median age of persons,50.0,Dromana
Median total personal income ($/weekly),677.0,Dromana
Median total family income ($/weekly),1694.0,Dromana
Median total household income ($/weekly),1304.0,Dromana
Median mortgage repayment ($/monthly),1781.0,Dromana
Median rent ($/weekly)(a),380.0,Dromana
Average number of persons per bedroom,0.7,Dromana
Average household size,2.2,Dromana
Median age of persons,46.0,Mundoona
Median total personal income ($/weekly),562.0,Mundoona
Median total family income ($/weekly),1424.0,Mundoona
Median total household income ($/weekly),1359.0,Mundoona
Median mortgage repayment ($/monthly),1100.0,Mundoona
Median rent ($/weekly)(a),100.0,Mundoona
Average number of persons per bedroom,0.7,Mundoona
Average household size,2.5,Mundoona
Median age of persons,61.0,Mountain Bay
Median total personal income ($/weekly),525.0,Mountain Bay
Median total family income ($/weekly),1062.0,Mountain Bay
Median total household income ($/weekly),966.0,Mountain Bay
Median mortgage repayment ($/monthly),1517.0,Mountain Bay
Median rent ($/weekly)(a),0.0,Mountain Bay
Average number of persons per bedroom,0.6,Mountain Bay
Average household size,1.9,Mountain Bay
Median age of persons,50.0,Dewhurst
Median total personal income ($/weekly),771.0,Dewhurst
Median total family income ($/weekly),2166.0,Dewhurst
Median total household income ($/weekly),2349.0,Dewhurst
Median mortgage repayment ($/monthly),2150.0,Dewhurst
Median rent ($/weekly)(a),300.0,Dewhurst
Average number of persons per bedroom,0.7,Dewhurst
Average household size,2.7,Dewhurst
Median age of persons,47.0,Buckland (Vic.)
Median total personal income ($/weekly),738.0,Buckland (Vic.)
Median total family income ($/weekly),1843.0,Buckland (Vic.)
Median total household income ($/weekly),1481.0,Buckland (Vic.)
Median mortgage repayment ($/monthly),1300.0,Buckland (Vic.)
Median rent ($/weekly)(a),275.0,Buckland (Vic.)
Average number of persons per bedroom,0.8,Buckland (Vic.)
Average household size,2.6,Buckland (Vic.)
Median age of persons,36.0,Brown Hill (Vic.)
Median total personal income ($/weekly),875.0,Brown Hill (Vic.)
Median total family income ($/weekly),2181.0,Brown Hill (Vic.)
Median total household income ($/weekly),1757.0,Brown Hill (Vic.)
Median mortgage repayment ($/monthly),1619.0,Brown Hill (Vic.)
Median rent ($/weekly)(a),290.0,Brown Hill (Vic.)
Average number of persons per bedroom,0.7,Brown Hill (Vic.)
Average household size,2.5,Brown Hill (Vic.)
Median age of persons,30.0,Wychitella North
Median total personal income ($/weekly),824.0,Wychitella North
Median total family income ($/weekly),2625.0,Wychitella North
Median total household income ($/weekly),2249.0,Wychitella North
Median mortgage repayment ($/monthly),3467.0,Wychitella North
Median rent ($/weekly)(a),0.0,Wychitella North
Average number of persons per bedroom,0.8,Wychitella North
Average household size,3.2,Wychitella North
Median age of persons,50.0,Buln Buln East
Median total personal income ($/weekly),817.0,Buln Buln East
Median total family income ($/weekly),2100.0,Buln Buln East
Median total household income ($/weekly),1812.0,Buln Buln East
Median mortgage repayment ($/monthly),1900.0,Buln Buln East
Median rent ($/weekly)(a),250.0,Buln Buln East
Average number of persons per bedroom,0.7,Buln Buln East
Average household size,2.6,Buln Buln East
Median age of persons,49.0,Wool Wool
Median total personal income ($/weekly),530.0,Wool Wool
Median total family income ($/weekly),1468.0,Wool Wool
Median total household income ($/weekly),1437.0,Wool Wool
Median mortgage repayment ($/monthly),1400.0,Wool Wool
Median rent ($/weekly)(a),160.0,Wool Wool
Average number of persons per bedroom,0.8,Wool Wool
Average household size,2.7,Wool Wool
Median age of persons,54.0,Wychitella
Median total personal income ($/weekly),466.0,Wychitella
Median total family income ($/weekly),1249.0,Wychitella
Median total household income ($/weekly),900.0,Wychitella
Median mortgage repayment ($/monthly),650.0,Wychitella
Median rent ($/weekly)(a),0.0,Wychitella
Average number of persons per bedroom,0.8,Wychitella
Average household size,2.5,Wychitella
Median age of persons,42.0,Bell Post Hill
Median total personal income ($/weekly),674.0,Bell Post Hill
Median total family income ($/weekly),1700.0,Bell Post Hill
Median total household income ($/weekly),1368.0,Bell Post Hill
Median mortgage repayment ($/monthly),1600.0,Bell Post Hill
Median rent ($/weekly)(a),350.0,Bell Post Hill
Average number of persons per bedroom,0.7,Bell Post Hill
Average household size,2.4,Bell Post Hill
Median age of persons,54.0,Murmungee
Median total personal income ($/weekly),638.0,Murmungee
Median total family income ($/weekly),2625.0,Murmungee
Median total household income ($/weekly),1687.0,Murmungee
Median mortgage repayment ($/monthly),1903.0,Murmungee
Median rent ($/weekly)(a),80.0,Murmungee
Average number of persons per bedroom,0.7,Murmungee
Average household size,2.2,Murmungee
Median age of persons,53.0,Drummartin
Median total personal income ($/weekly),949.0,Drummartin
Median total family income ($/weekly),1875.0,Drummartin
Median total household income ($/weekly),1812.0,Drummartin
Median mortgage repayment ($/monthly),1083.0,Drummartin
Median rent ($/weekly)(a),100.0,Drummartin
Average number of persons per bedroom,0.7,Drummartin
Average household size,2.5,Drummartin
Median age of persons,53.0,Mount Prospect
Median total personal income ($/weekly),939.0,Mount Prospect
Median total family income ($/weekly),3249.0,Mount Prospect
Median total household income ($/weekly),1937.0,Mount Prospect
Median mortgage repayment ($/monthly),1733.0,Mount Prospect
Median rent ($/weekly)(a),0.0,Mount Prospect
Average number of persons per bedroom,0.7,Mount Prospect
Average household size,2.3,Mount Prospect
Median age of persons,54.0,Cobrico
Median total personal income ($/weekly),604.0,Cobrico
Median total family income ($/weekly),1583.0,Cobrico
Median total household income ($/weekly),1375.0,Cobrico
Median mortgage repayment ($/monthly),1083.0,Cobrico
Median rent ($/weekly)(a),0.0,Cobrico
Average number of persons per bedroom,0.6,Cobrico
Average household size,2.2,Cobrico
Median age of persons,40.0,Doncaster
Median total personal income ($/weekly),719.0,Doncaster
Median total family income ($/weekly),1958.0,Doncaster
Median total household income ($/weekly),1592.0,Doncaster
Median mortgage repayment ($/monthly),2167.0,Doncaster
Median rent ($/weekly)(a),450.0,Doncaster
Average number of persons per bedroom,0.8,Doncaster
Average household size,2.4,Doncaster
Median age of persons,39.0,Clematis
Median total personal income ($/weekly),925.0,Clematis
Median total family income ($/weekly),2481.0,Clematis
Median total household income ($/weekly),2288.0,Clematis
Median mortgage repayment ($/monthly),2000.0,Clematis
Median rent ($/weekly)(a),372.0,Clematis
Average number of persons per bedroom,0.8,Clematis
Average household size,2.8,Clematis
Median age of persons,38.0,Bulart
Median total personal income ($/weekly),1028.0,Bulart
Median total family income ($/weekly),2416.0,Bulart
Median total household income ($/weekly),2083.0,Bulart
Median mortgage repayment ($/monthly),1300.0,Bulart
Median rent ($/weekly)(a),250.0,Bulart
Average number of persons per bedroom,0.8,Bulart
Average household size,3.0,Bulart
Median age of persons,59.0,Broken Creek
Median total personal income ($/weekly),860.0,Broken Creek
Median total family income ($/weekly),1875.0,Broken Creek
Median total household income ($/weekly),1625.0,Broken Creek
Median mortgage repayment ($/monthly),0.0,Broken Creek
Median rent ($/weekly)(a),70.0,Broken Creek
Average number of persons per bedroom,0.6,Broken Creek
Average household size,2.2,Broken Creek
Median age of persons,38.0,Bayswater North
Median total personal income ($/weekly),839.0,Bayswater North
Median total family income ($/weekly),2113.0,Bayswater North
Median total household income ($/weekly),1675.0,Bayswater North
Median mortgage repayment ($/monthly),1835.0,Bayswater North
Median rent ($/weekly)(a),360.0,Bayswater North
Average number of persons per bedroom,0.8,Bayswater North
Average household size,2.5,Bayswater North
Median age of persons,42.0,Boisdale
Median total personal income ($/weekly),692.0,Boisdale
Median total family income ($/weekly),1803.0,Boisdale
Median total household income ($/weekly),1468.0,Boisdale
Median mortgage repayment ($/monthly),1231.0,Boisdale
Median rent ($/weekly)(a),200.0,Boisdale
Average number of persons per bedroom,0.8,Boisdale
Average household size,2.5,Boisdale
Median age of persons,44.0,Ascot (Ballarat - Vic.)
Median total personal income ($/weekly),733.0,Ascot (Ballarat - Vic.)
Median total family income ($/weekly),2222.0,Ascot (Ballarat - Vic.)
Median total household income ($/weekly),2027.0,Ascot (Ballarat - Vic.)
Median mortgage repayment ($/monthly),2167.0,Ascot (Ballarat - Vic.)
Median rent ($/weekly)(a),240.0,Ascot (Ballarat - Vic.)
Average number of persons per bedroom,0.8,Ascot (Ballarat - Vic.)
Average household size,2.8,Ascot (Ballarat - Vic.)
Median age of persons,43.0,Cape Woolamai
Median total personal income ($/weekly),732.0,Cape Woolamai
Median total family income ($/weekly),1949.0,Cape Woolamai
Median total household income ($/weekly),1471.0,Cape Woolamai
Median mortgage repayment ($/monthly),1500.0,Cape Woolamai
Median rent ($/weekly)(a),340.0,Cape Woolamai
Average number of persons per bedroom,0.8,Cape Woolamai
Average household size,2.4,Cape Woolamai
Median age of persons,52.0,Corryong
Median total personal income ($/weekly),589.0,Corryong
Median total family income ($/weekly),1396.0,Corryong
Median total household income ($/weekly),988.0,Corryong
Median mortgage repayment ($/monthly),888.0,Corryong
Median rent ($/weekly)(a),200.0,Corryong
Average number of persons per bedroom,0.7,Corryong
Average household size,2.1,Corryong
Median age of persons,36.0,Culla
Median total personal income ($/weekly),900.0,Culla
Median total family income ($/weekly),2124.0,Culla
Median total household income ($/weekly),1624.0,Culla
Median mortgage repayment ($/monthly),600.0,Culla
Median rent ($/weekly)(a),65.0,Culla
Average number of persons per bedroom,0.6,Culla
Average household size,2.3,Culla
Median age of persons,47.0,Newlyn
Median total personal income ($/weekly),665.0,Newlyn
Median total family income ($/weekly),2041.0,Newlyn
Median total household income ($/weekly),1375.0,Newlyn
Median mortgage repayment ($/monthly),1592.0,Newlyn
Median rent ($/weekly)(a),240.0,Newlyn
Average number of persons per bedroom,0.7,Newlyn
Average household size,2.5,Newlyn
Median age of persons,45.0,Carlisle River
Median total personal income ($/weekly),515.0,Carlisle River
Median total family income ($/weekly),1375.0,Carlisle River
Median total household income ($/weekly),1036.0,Carlisle River
Median mortgage repayment ($/monthly),888.0,Carlisle River
Median rent ($/weekly)(a),200.0,Carlisle River
Average number of persons per bedroom,0.7,Carlisle River
Average household size,2.3,Carlisle River
Median age of persons,50.0,Boorhaman East
Median total personal income ($/weekly),1041.0,Boorhaman East
Median total family income ($/weekly),2750.0,Boorhaman East
Median total household income ($/weekly),1999.0,Boorhaman East
Median mortgage repayment ($/monthly),2167.0,Boorhaman East
Median rent ($/weekly)(a),0.0,Boorhaman East
Average number of persons per bedroom,0.8,Boorhaman East
Average household size,2.8,Boorhaman East
Median age of persons,45.0,Yundool
Median total personal income ($/weekly),593.0,Yundool
Median total family income ($/weekly),784.0,Yundool
Median total household income ($/weekly),900.0,Yundool
Median mortgage repayment ($/monthly),1896.0,Yundool
Median rent ($/weekly)(a),239.0,Yundool
Average number of persons per bedroom,0.7,Yundool
Average household size,2.2,Yundool
Median age of persons,39.0,Bacchus Marsh
Median total personal income ($/weekly),771.0,Bacchus Marsh
Median total family income ($/weekly),2007.0,Bacchus Marsh
Median total household income ($/weekly),1508.0,Bacchus Marsh
