school_name,education_sector,school_type,establishment_year,x,y,coordinates
Swifts Creek P-12 School,Government,Pri/Sec,2023,147.7,-37.3,POINT (147.7 -37.3)
Swan Reach Primary School,Government,Primary,2023,147.9,-37.8,POINT (147.9 -37.8)
Swan Hill College,Government,Secondary,2023,143.6,-35.3,POINT (143.6 -35.3)
Suzanne Cory High School,Government,Secondary,2023,144.7,-37.9,POINT (144.7 -37.9)
Surf Coast Secondary College,Government,Secondary,2023,144.3,-38.3,POINT (144.3 -38.3)
Sunbury Downs Secondary College,Government,Secondary,2023,144.7,-37.6,POINT (144.7 -37.6)
Strathmerton Primary School,Government,Primary,2023,145.5,-35.9,POINT (145.5 -35.9)
Stawell Secondary College,Government,Secondary,2023,142.8,-37.1,POINT (142.8 -37.1)
Stanhope Primary School,Government,Primary,2023,145.0,-36.4,POINT (145 -36.4)
Toolangi Primary School,Government,Primary,2023,145.5,-37.5,POINT (145.5 -37.5)
Yinnar Primary School,Government,Primary,2023,146.3,-38.3,POINT (146.3 -38.3)
Moyston Primary School,Government,Primary,2023,142.8,-37.3,POINT (142.8 -37.3)
Mount Rowan Secondary College,Government,Secondary,2023,143.8,-37.5,POINT (143.8 -37.5)
Derrinallum P-12 College,Government,Pri/Sec,2023,143.2,-37.9,POINT (143.2 -37.9)
Dederang Primary School,Government,Primary,2023,147.0,-36.5,POINT (147 -36.5)
Deans Marsh Primary School,Government,Primary,2023,143.9,-38.4,POINT (143.9 -38.4)
Dartmoor Primary School,Government,Primary,2023,141.3,-37.9,POINT (141.3 -37.9)
Darraweit Guim Primary School,Government,Primary,2023,144.9,-37.4,POINT (144.9 -37.4)
Darnum Primary School,Government,Primary,2023,146.0,-38.2,POINT (146 -38.2)
Currawa Primary School,Government,Primary,2023,145.7,-36.4,POINT (145.7 -36.4)
Cudgee Primary School,Government,Primary,2023,142.7,-38.3,POINT (142.7 -38.3)
Creekside K-9 College,Government,Pri/Sec,2023,144.7,-37.7,POINT (144.7 -37.7)
Cowwarr Primary School,Government,Primary,2023,146.7,-38.0,POINT (146.7 -38)
Corryong College,Government,Pri/Sec,2023,147.9,-36.2,POINT (147.9 -36.2)
Concongella Primary School,Government,Primary,2023,142.8,-37.0,POINT (142.8 -37)
Devenish Primary School,Government,Primary,2023,145.9,-36.3,POINT (145.9 -36.3)
Columba Catholic School,Catholic,Primary,2023,145.7,-38.1,POINT (145.7 -38.1)
Colac Secondary College,Government,Secondary,2023,143.6,-38.4,POINT (143.6 -38.4)
Coimadai Primary School,Government,Primary,2023,144.5,-37.6,POINT (144.5 -37.6)
Cohuna Consolidated School,Government,Primary,2023,144.2,-35.8,POINT (144.2 -35.8)
Coburg High School,Government,Secondary,2023,145.0,-37.7,POINT (145 -37.7)
Cobram Primary School,Government,Primary,2023,145.7,-35.9,POINT (145.7 -35.9)
Cobden Technical School,Government,Secondary,2023,143.1,-38.3,POINT (143.1 -38.3)
Clunes Primary School,Government,Primary,2023,143.8,-37.3,POINT (143.8 -37.3)
Clifton Creek Primary School,Government,Primary,2023,147.7,-37.7,POINT (147.7 -37.7)
Charlton College,Government,Pri/Sec,2023,143.4,-36.3,POINT (143.4 -36.3)
Centre for Higher Education Studies,Government,Secondary,2023,145.0,-37.8,POINT (145 -37.8)
Cavendish Primary School,Government,Primary,2023,142.0,-37.5,POINT (142 -37.5)
Castlemaine Secondary College,Government,Secondary,2023,144.2,-37.1,POINT (144.2 -37.1)
Colbinabbin Primary School,Government,Primary,2023,144.8,-36.6,POINT (144.8 -36.6)
Dhurringile Primary School,Government,Primary,2023,145.2,-36.5,POINT (145.2 -36.5)
Diamond Valley College,Government,Secondary,2023,145.2,-37.7,POINT (145.2 -37.7)
Dimboola Memorial Secondary College,Government,Secondary,2023,142.0,-36.4,POINT (142 -36.4)
Glengarry Primary School,Government,Primary,2023,146.6,-38.1,POINT (146.6 -38.1)
Gilgai Plains Primary School,Government,Primary,2023,145.0,-37.5,POINT (145 -37.5)
Gembrook Primary School,Government,Primary,2023,145.5,-38.0,POINT (145.5 -38)
Gaayip-Yagila Primary School,Government,Primary,2023,144.9,-37.5,POINT (144.9 -37.5)
Foster Primary School,Government,Primary,2023,146.2,-38.7,POINT (146.2 -38.7)
Forrest Primary School,Government,Primary,2023,143.7,-38.5,POINT (143.7 -38.5)
Flowerdale Primary School,Government,Primary,2023,145.3,-37.3,POINT (145.3 -37.3)
Fish Creek and District Primary School,Government,Primary,2023,146.1,-38.7,POINT (146.1 -38.7)
Falls Creek Primary School,Government,Primary,2023,147.3,-36.9,POINT (147.3 -36.9)
Eynesbury Primary School,Government,Primary,2023,144.5,-37.8,POINT (144.5 -37.8)
Everton Primary School,Government,Primary,2023,146.5,-36.4,POINT (146.5 -36.4)
Euroa Secondary College,Government,Secondary,2023,145.6,-36.8,POINT (145.6 -36.8)
Eskdale Primary School,Government,Primary,2023,147.3,-36.5,POINT (147.3 -36.5)
Emerald Secondary College,Government,Secondary,2023,145.5,-37.9,POINT (145.5 -37.9)
Elphinstone Primary School,Government,Primary,2023,144.3,-37.1,POINT (144.3 -37.1)
Eildon Primary School,Government,Primary,2023,145.9,-37.2,POINT (145.9 -37.2)
Edi Upper Primary School,Government,Primary,2023,146.4,-36.7,POINT (146.4 -36.7)
EdSpace,Independent,Special,2023,146.0,-36.5,POINT (146 -36.5)
Echuca East Primary School,Government,Primary,2023,144.8,-36.1,POINT (144.8 -36.1)
Echuca College,Government,Secondary,2023,144.7,-36.1,POINT (144.7 -36.1)
East Loddon P-12 College,Government,Pri/Sec,2023,144.1,-36.4,POINT (144.1 -36.4)
Dunolly Primary School,Government,Primary,2023,143.7,-36.9,POINT (143.7 -36.9)
